antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'spaghetti'}),frozenset({'ground beef'}),0.17411011865084655,0.09825356619117451,0.03919477403012932,0.22511485451761104,2.2911621760333793,1.0,0.022087833962715117,1.1637162475833263,0.6823431228827286,0.16809605488850773,0.1406839922732999,0.31201468641755725
frozenset({'ground beef'}),frozenset({'spaghetti'}),0.09825356619117451,0.17411011865084655,0.03919477403012932,0.3989145183175034,2.291162176033379,1.0,0.022087833962715117,1.3739973872558149,0.6249431765609852,0.16809605488850773,0.2721965781920247,0.31201468641755725
frozenset({'mineral water'}),frozenset({'ground beef'}),0.23836821757099053,0.09825356619117451,0.040927876283162246,0.17170022371364654,1.7475215442008993,1.0,0.01750734884017864,1.0886715892303713,0.5616375247948704,0.13841298467087468,0.08144934625607078,0.2941269096858599
frozenset({'ground beef'}),frozenset({'mineral water'}),0.09825356619117451,0.23836821757099053,0.040927876283162246,0.41655359565807326,1.7475215442008991,1.0,0.01750734884017864,1.305401450349256,0.4743694824294936,0.13841298467087468,0.2339521304098035,0.2941269096858599
frozenset({'frozen vegetables'}),frozenset({'mineral water'}),0.09532062391681109,0.23836821757099053,0.03572856952406346,0.37482517482517486,1.57246288387228,1.0,0.013007162303258473,1.2182700770396908,0.4024132212500716,0.11991051454138703,0.1791639482519931,0.26235665900095434
frozenset({'mineral water'}),frozenset({'frozen vegetables'}),0.23836821757099053,0.09532062391681109,0.03572856952406346,0.1498881431767338,1.57246288387228,1.0,0.013007162303258473,1.0641886344978566,0.4779933694036383,0.11991051454138703,0.060316970522941375,0.26235665900095434
frozenset({'spaghetti'}),frozenset({'milk'}),0.17411011865084655,0.12958272230369283,0.03546193840821224,0.20367534456355285,1.57177855922964,1.0,0.012900275252816583,1.0930432352609396,0.4404679980823732,0.13220675944333996,0.08512310607615409,0.23866894800194105
frozenset({'milk'}),frozenset({'spaghetti'}),0.12958272230369283,0.17411011865084655,0.03546193840821224,0.27366255144032925,1.5717785592296398,1.0,0.012900275252816583,1.1370608564750384,0.41793525013329785,0.13220675944333996,0.12053959618303628,0.23866894800194105
frozenset({'milk'}),frozenset({'mineral water'}),0.12958272230369283,0.23836821757099053,0.04799360085321957,0.3703703703703704,1.5537741320739085,1.0,0.01710519830969167,1.209650477975486,0.4094654617858785,0.15,0.17331492178332722,0.2858563261247825
frozenset({'mineral water'}),frozenset({'milk'}),0.23836821757099053,0.12958272230369283,0.04799360085321957,0.20134228187919462,1.5537741320739085,1.0,0.01710519830969167,1.0898502048466365,0.4679502888149834,0.15,0.08244271042668692,0.2858563261247825
frozenset({'chocolate'}),frozenset({'milk'}),0.1638448206905746,0.12958272230369283,0.03212904946007199,0.19609438567941412,1.5132757067708698,1.0,0.010897591559626912,1.0827356622355886,0.4056446619104072,0.12295918367346938,0.07641353759860398,0.22201838625534492
frozenset({'milk'}),frozenset({'chocolate'}),0.12958272230369283,0.1638448206905746,0.03212904946007199,0.2479423868312757,1.5132757067708698,1.0,0.010897591559626912,1.111823302720604,0.38967733489080625,0.12295918367346938,0.10057650567943223,0.22201838625534492
frozenset({'mineral water'}),frozenset({'pancakes'}),0.23836821757099053,0.09505399280095987,0.03372883615517931,0.14149888143176736,1.4886158620191963,1.0,0.011070985318208743,1.0540999745093707,0.43096287573795017,0.11254448398576512,0.05132338091038406,0.24816879555459337
frozenset({'pancakes'}),frozenset({'mineral water'}),0.09505399280095987,0.23836821757099053,0.03372883615517931,0.3548387096774194,1.4886158620191963,1.0,0.011070985318208743,1.1805292627649648,0.36271227299512515,0.11254448398576512,0.15292231074572427,0.24816879555459337
frozenset({'mineral water'}),frozenset({'spaghetti'}),0.23836821757099053,0.17411011865084655,0.05972536995067324,0.2505592841163311,1.4390851379453289,1.0,0.01822305130679728,1.1020082894420047,0.4006057612962917,0.16931216931216933,0.09256580954908791,0.29679572169063106
frozenset({'spaghetti'}),frozenset({'mineral water'}),0.17411011865084655,0.23836821757099053,0.05972536995067324,0.3430321592649311,1.4390851379453289,1.0,0.01822305130679728,1.1593136455154853,0.36943675775394913,0.16931216931216933,0.1374206593114385,0.29679572169063106
frozenset({'spaghetti'}),frozenset({'chocolate'}),0.17411011865084655,0.1638448206905746,0.03919477403012932,0.22511485451761104,1.3739516059695691,1.0,0.010667732859366695,1.0790698262629541,0.32955038351095073,0.13119143239625167,0.07327591258555491,0.23216686582674695
frozenset({'chocolate'}),frozenset({'spaghetti'}),0.1638448206905746,0.17411011865084655,0.03919477403012932,0.23921887713588283,1.3739516059695691,1.0,0.010667732859366695,1.085581459014021,0.32550456407052614,0.13119143239625167,0.07883467270318921,0.23216686582674695
frozenset({'chocolate'}),frozenset({'mineral water'}),0.1638448206905746,0.23836821757099053,0.05265964538061592,0.3213995117982099,1.3483320682317521,1.0,0.013604247514365099,1.1223566673923893,0.30896530289330915,0.15064836003051105,0.10901763311716656,0.27115836887449646
frozenset({'mineral water'}),frozenset({'chocolate'}),0.23836821757099053,0.1638448206905746,0.05265964538061592,0.220917225950783,1.348332068231752,1.0,0.013604247514365099,1.0732558941889825,0.3391966356987283,0.15064836003051105,0.0682557576302333,0.27115836887449646
frozenset({'eggs'}),frozenset({'milk'}),0.17970937208372217,0.12958272230369283,0.03079589388081589,0.17136498516320472,1.322436989412756,1.0,0.00750866422271991,1.050422999404317,0.29723648690006566,0.1105792245093346,0.04800256604521346,0.2045096530754295
frozenset({'milk'}),frozenset({'eggs'}),0.12958272230369283,0.17970937208372217,0.03079589388081589,0.23765432098765432,1.322436989412756,1.0,0.00750866422271991,1.0760087588861296,0.2801188702551851,0.1105792245093346,0.07063953546699091,0.2045096530754295
frozenset({'french fries'}),frozenset({'chocolate'}),0.1709105452606319,0.1638448206905746,0.03439541394480736,0.20124804992199688,1.2282844771886887,1.0,0.006392606302450789,1.0468270897213705,0.22416924379028505,0.11451398135818909,0.04473240154095959,0.20558740982674295
frozenset({'chocolate'}),frozenset({'french fries'}),0.1638448206905746,0.1709105452606319,0.03439541394480736,0.209926769731489,1.2282844771886887,1.0,0.006392606302450789,1.0493830482746482,0.22227495649422555,0.11451398135818909,0.04705912522204519,0.20558740982674295
frozenset({'eggs'}),frozenset({'mineral water'}),0.17970937208372217,0.23836821757099053,0.05092654312758299,0.28338278931750743,1.188844688294532,1.0,0.008089540423184209,1.0628153651286798,0.19364750349508134,0.13870733478576616,0.05910280109760604,0.2485146608779931
frozenset({'mineral water'}),frozenset({'eggs'}),0.23836821757099053,0.17970937208372217,0.05092654312758299,0.21364653243847875,1.188844688294532,1.0,0.008089540423184209,1.0431576406218384,0.2085617169622327,0.13870733478576616,0.04137211763709233,0.2485146608779931
frozenset({'eggs'}),frozenset({'french fries'}),0.17970937208372217,0.1709105452606319,0.036395147313691506,0.20252225519287834,1.1849605586597352,1.0,0.005680920542416767,1.0396396139429471,0.1902862834115881,0.1158252015273653,0.03812822579221426,0.207735386566798
frozenset({'french fries'}),frozenset({'eggs'}),0.1709105452606319,0.17970937208372217,0.036395147313691506,0.21294851794071765,1.1849605586597352,1.0,0.005680920542416767,1.0422324925556672,0.1882668438384791,0.1158252015273653,0.040521182036945075,0.207735386566798
frozenset({'eggs'}),frozenset({'spaghetti'}),0.17970937208372217,0.17411011865084655,0.036528462871617116,0.2032640949554896,1.1674456173515526,1.0,0.005239242775451118,1.0365917691421405,0.17485150558566764,0.11512605042016805,0.035300076878309536,0.20653250689581526
frozenset({'spaghetti'}),frozenset({'eggs'}),0.17411011865084655,0.17970937208372217,0.036528462871617116,0.20980091883614088,1.1674456173515524,1.0,0.005239242775451118,1.0380809690490882,0.1736660716494936,0.11512605042016805,0.036684006531755686,0.20653250689581526
frozenset({'eggs'}),frozenset({'chocolate'}),0.17970937208372217,0.1638448206905746,0.03319557392347687,0.1847181008902077,1.1273966434316094,1.0,0.003751124078003657,1.0256025311274843,0.13775694358777535,0.10695876288659795,0.024963404779567596,0.19366092188529913
frozenset({'chocolate'}),frozenset({'eggs'}),0.1638448206905746,0.17970937208372217,0.03319557392347687,0.20260374288039054,1.1273966434316094,1.0,0.003751124078003657,1.0287114099072503,0.13514325157773943,0.10695876288659795,0.027910072378646095,0.19366092188529913
